link,post_time,price,squaremeter,timespan,title,undertitle
wg-zimmer-in-Nurnberg-Lorenz.8202672.html,Online: 6 Stunden,298 €,14 m²,18.09.2020 - 28.02.2021,"Möblierters 14qm Zimmer in 3er WG, zental",3er WG | Nürnberg Lorenz | Betzengäßchen 1
wg-zimmer-in-Nurnberg-Glockenhof.8194577.html,Online: 17 Stunden,340 €,15 m²,01.09.2020 - 28.02.2021,WG Zimmer zur Zwischenmiete Studenten Praktikanten Pendler 1-6 Monate,2er WG | Nürnberg Glockenhof | Walter-Meckauer-Straße
wg-zimmer-in-Nurnberg-Unterasbach-b-Nurnberg.7263979.html,Online: 1 Tag,27 €,33 m²,01.09.2020 - 28.02.2021,"Tage- Wochenweise Vermietung eines großes Zimmers mit Frühstücksraums & eigener Toilette - für Berufstätige; Freelancer, Expats. Nur 3 Stationen mit der S-Bahn zum Hbf NBG",2er WG | Nürnberg Unterasbach b. Nürnberg | Nahe S-Bahn Unterasbach
wg-zimmer-in-Nurnberg-Steinbuhl.4402916.html,Online: 1 Tag,380 €,15 m²,15.09.2020 - 31.12.2020,Zentral in Nürnbeg,3er WG | Nürnberg Steinbühl | Gugelstrasse 98
wg-zimmer-in-Nurnberg-St-Peter.8147050.html,Online: 1 Tag,335 €,12 m²,01.09.2020 - 31.12.2020,Zentral gelegenes möbliertes Zimmer in netter Reihenhaus WG,3er WG | Nürnberg St Peter | Burgerstraße
wg-zimmer-in-Nurnberg-Glockenhof.8199957.html,Online: 1 Tag,213 €,18 m²,01.09.2020 - 31.10.2020,Möbliertes & zentrales WG-Zimmer zur Zwischenmiete,5er WG | Nürnberg Glockenhof | Sophienstraße
wg-zimmer-in-Nurnberg-Gostenhof.8169586.html,Online: 1 Tag,600 €,22 m²,22.11.2020 - 01.03.2021,großes WG Zimmer in Gostenhof bis März 2021,2er WG | Nürnberg Gostenhof | Schreyerstr 9
wg-zimmer-in-Nurnberg-Lorenz.5388392.html,Online: 1 Tag,500 €,12 m²,01.09.2020 - 30.11.2020,Wohnung wie für Dich allein - in zentralster Lage,2er WG | Nürnberg Lorenz | Obere Wörthstraße 13
wg-zimmer-in-Nurnberg-Rennweg.8173969.html,Online: 4 Tage,350 €,15 m²,01.09.2020 - 31.01.2021,WG-Zimmer in 2er WG am Rennweg von September bis Januar 2021,2er WG | Nürnberg Rennweg | Adamstraße
wg-zimmer-in-Nurnberg-Glockenhof.7409530.html,Online: 19.08.2020,350 €,15 m²,01.10.2020 - 30.12.2020,Ab 1.10: Möbliertes 15qm Zimmer in 2er WG,2er WG | Nürnberg Glockenhof | Wilhelm-Spaeth-Straße
wg-zimmer-in-Nurnberg-Maxfeld.7450445.html,Online: 17.08.2020,400 €,18 m²,01.09.2020 - 31.01.2021,"Schönes helles Zimmer, möbliert, in Maxfeld ab 01.09.20 zu vermieten","2er WG | Nürnberg Maxfeld | Schillerstrasse, 13"
wg-zimmer-in-Nurnberg-Woehrd.8182141.html,Online: 17.08.2020,377 €,20 m²,01.10.2020 - 28.02.2021,20m2 Zimmer mit balkon bei Wohrder See in 3er WG - (Ideal für Studenten),3er WG | Nürnberg Wöhrd | Siebmacherstraße 1
wg-zimmer-in-Nurnberg-Nurnberg.8184990.html,Online: 15.08.2020,410 €,16 m²,01.09.2020 - 01.03.2021,Ruhiges Zimmer mit eigenem Bad,"2er WG | Nürnberg Nürnberg | Hans-Traut-Str., 7"
wg-zimmer-in-Nurnberg-Weigelshof.8168641.html,Online: 10.08.2020,420 €,13 m²,01.10.2020 - 31.12.2020,Zimmer in 2er WG zur Zwischenmiete,2er WG | Nürnberg Weigelshof | Ludwig-Feuerbach Str. 104
wg-zimmer-in-Nurnberg-Rennweg.6588888.html,Online: 10.08.2020,435 €,15 m²,01.09.2020 - 01.11.2020,Unmöbliertes WG-Zimmer für zwei Monate,3er WG | Nürnberg Rennweg | Rennweg 25
wg-zimmer-in-Nurnberg-Ziegelstein.8157537.html,Online: 02.08.2020,350 €,10 m²,01.10.2020 - 15.11.2020,WG Zimmer für Studentin (w) befristet ab Oktober 2020,2er WG | Nürnberg Ziegelstein | Hermann-Köhl-Weg 3
wg-zimmer-in-Nurnberg-Gaerten-h-d-Veste.8152478.html,Online: 31.07.2020,400 €,14 m²,01.09.2020 - 01.03.2021,Schönes WG-Zimmer mit Balkon in der Nürnberger Nordstadt nahe der Burg,3er WG | Nürnberg Gärten h.d.Veste | Uhlandstraße 29
wg-zimmer-in-Nurnberg-Schoppershof.7328006.html,Online: 05.07.2020,430 €,17 m²,01.09.2020 - 30.09.2020,möbliertes Zimmer 4er WG Schoppershof (B) ab 01.09.,4er WG | Nürnberg Schoppershof | Welserstr. 38
